symptoms,label,description
Piglet,Piglet,A piglet is a young pig. esp. a suckling of age upto 3 and 4 weeks.
Weaner,Weaner,"The stage that comes after lactation (after the weaning event), in which the piglets are taken away from their dam and normally proceed to eat only solid food (compound feed) and water. It normally lasts 7-8 weeks and the animals can grow approximately 20-25 kg during this stage."
Grower,Grower,"A pig between weaning and sale or transfer to the breeding herd, sold for slaughter or killed for rations."
Finisher,Finisher,A grower pig over 70 kg (150 lb) liveweight.
Sow,Sow,"A breeding female pig, or A female pig after first or second litter."
Boar,Boar,A male pig of breeding age. Aslo known as hog
Fever,Fever,Fever means a high body temperature of 39-40?C (103-109?F). It may occur with little or no other signs or be part of a specific disease.
Dehydration,Dehydration,"Excessive loss of body water. It occurs when free water loss exceeds free water intake, usually due to disease, or high environmental temperature."
Dullness,Dullness,Lack of activeness in the animals.
Jaundice,Jaundice,"Jaundice is a yellowing of the skin and mucous membranes due to the breakdown of red cells in the blood, the accumulation of the bye-products in the liver and the production of a substance called bilirubin. The condition may be seen at any age but is usually confined to individual animals or litter mates."
Off_feed,Off feed,The animal's food intake is less than normal.
Off_water,Off water,The animal's water intake is less than normal.
Weakness,Weakness,The animal look physicaly weak.
Weight_loss,Weight loss,"Reduction of total body mass of the animal, due to loss of fluid, body fat or adipose tissue."
Pale_eye_or_anemia,Pale eye or Anemia,Pale color in eye due to Anemia. Anemia is a condition in which your body doesn't produce enough red blood cells. It's one of the most common causes of paleness. 
Eye_redness,Eye redness,"Bloodshot eyes appearing red caused by allergy, eye fatigue or some other condition."
Mastitis,Mastitis,Mastitis is an inflammation of the mammary gland caused by bacteria. that enter the udder through the teat end. Mastitis is nearly always caused by bacteria that invade the udder through the teat end and multiply there. Mastitis can be either clinical or sub-clinical.
Abortion,Abortion,"Abortion means the premature expulsion of dead or non-viable foetuses. Embryo loss occurs when there is death of embryos followed by absorption, or expulsion. Healthy embryos grow into foetuses."
Bluish_ear,Bluish ear,A bluish color to the skin in ear due to a lack of oxygen in the blood.
Bluish_eye,Bluish eye,"A bluish coloration of the whites of the eyes. The blue color is caused by thinness and transparency of the collagen fibers of the sclera, allowing the veins in the underlying tissue to show through."
Bluish_mouth,Bluish mouth,A bluish discoloration mouth due to excessive concentration of deoxyhemoglobin in the blood caused by deoxygenation.
Bluish_skin,Bluish skin,A bluish color to the skin is usually due to a lack of oxygen in the blood.
Diamond_shaped_lesions,Diamond shaped lesions,A skin lesions that vary from in the shape of rectangle or diamond shape often-described as diamond skin lesions.
Discoloration,Discoloration,Discoloration of any part of animal body.
Flakes,Flakes,Dry skin in animals.
Gangrene,Gangrene,Gangrene refers to dead or dying body tissue(s) that occur because of inadequate blood supply.
Greasy_skin,Greasy skin,An Oily skin characterised by an increased amount of lipids on the skin surface.
Hair_loss,Hair loss,Hair loss from animal body.
Hardened_skin,Hardened skin,"A chronic hardening and contraction of the skin and connective tissue, either locally or throughout the animal body."
Leathery_skin,Leathery skin,The texture of animal's  skin is tough and hard like leather. 
Pale_skin,Pale skin,"Paleness of skin also known as pale skin, is an unusual lightness of skin color compared with normal skin."
Pox_lesion,Pox lesion,Visible leison on animal skin due to pox.
Redness,Redness,Reddening of the skin due to an increase in blood flow under skin or other cases.
Reddish_ear,Reddish ear,Reddening of the skin in the ear.
Circular_patches,Circular patches,A round or circular shape leison or patch on animal skin.
Vesicles,Vesicles,"A small fluid-filled bladder, sac, cyst, or vacuole within the body."
Itching,Itching,Animals scratching skin.
Wound,Wound,Skin infecion or wound.
Breathing_difficulty,Breathing difficulty,Difficulty in breathing
Coughing,Coughing,Coughing or wheezing.
Hurried_breathing,Hurried breathing,Rapid breathing.
Labored_breathing,Labored breathing,"Labored respiration or labored breathing is an abnormal respiration characterized by evidence of increased effort to breathe, including the use of accessory muscles of respiration, stridor, grunting, or nasal flaring."
Pneumonia,Pneumonia,"Pneumonia is a lung disease characterized by inflammation of the airspaces in the lungs, most commonly due to an infection."
