symptoms,label,description
Male,Male ,NA
Female,Female,NA
Cyst_in_tounge_or_muscle,Cyst in tounge or muscle,NA
Brain_cyst,Brain cyst,NA
Snout_necrosis,Snout necrosis,NA
Turbinate_atropy  ,Turbinate atropy  ,NA
Tongue_vesicles,Tongue vesicles,NA
Tonsil _necrosis,Tonsil  necrosis,NA
Brain_haemorrhages,Brain haemorrhages,NA
Meningitis,Meningitis,NA
Encephalitis,Encephalitis,NA
Hydrocephalus,Hydrocephalus,NA
Cerebellar_hypoplasia,Cerebellar hypoplasia,NA
Alopecia,Alopecia,NA
Diamond_shaped_lesions,Diamond shaped lesions,NA
Skin_Haemorrhages,Skin Haemorrhages,NA
Pus_or_abscess_or_pyaemia_in_skin,Pus or abscess or pyaemia in skin,NA
Muscle_Cyst,Muscle Cyst,NA
Myositis,Myositis,NA
Muscle_Necrosis,Muscle Necrosis,NA
Fibrin_deposition_on_pleura,Fibrin deposition on pleura,NA
Pleura_thickening,Pleura thickening,NA
Pleural_abscess_or_Purulent_exudate,Pleural abscess or Purulent exudate,NA
Pleural_adhesions,Pleural adhesions,NA
Pleural_effusions,Pleural effusions,NA
Pleuritis_or_Pleurisy,Pleuritis or Pleurisy,NA
Pleura_Tubercles,Pleura Tubercles,NA
Lymphnodes_Abscess,Lymphnodes Abscess,NA
Lymphnodes_Congestion,Lymphnodes Congestion,NA
Lymphnodes_Enlargement,Lymphnodes Enlargement,NA
Hyperplasia,Hyperplasia,NA
Lymphnodes_Oedema,Lymphnodes Oedema,NA
Mastitis,Mastitis,NA
Abscess_or_Milky spot_on_lung,Abscess or Milky spot on lung,NA
Bronchi_or_with_thick_exudate,Bronchi or with thick exudate,NA
Bronchiolitis,Bronchiolitis,NA
Bronchopneumonia,Bronchopneumonia,NA
Lung_Cyst,Lung Cyst,NA
Collapse,Collapse,NA
Lung_Congestion,Lung Congestion,NA
Consolidation_or_Hepatisation,Consolidation or Hepatisation,NA
Emphysema,Emphysema,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_lung,Haemorrhages or Petechiae or Echymosis in lung,NA
Embolic_or_lesions,Embolic or lesions,NA
Mottling,Mottling,NA
Lung_Necrosis,Lung Necrosis,NA
Lung_Oedema,Lung Oedema,NA
Pneumonia,Pneumonia,NA
Lung_Tubercles,Lung Tubercles,NA
Heart_Cyst,Heart Cyst,NA
Endocarditis,Endocarditis,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_heart,Haemorrhages or Petechiae or Echymosis in heart,NA
Myocarditis,Myocarditis,NA
Heart_Necrosis,Heart Necrosis,NA
Pericarditis,Pericarditis,NA
Percardial_adhesions_or_Fibrin_deposits,Percardial adhesions or Fibrin deposits,NA
Purulent_pericarditis,Purulent pericarditis,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_Epiglotis,Haemorrhages or Petechiae or Echymosis in Epiglotis,NA
Bloat,Bloat,NA
Gastritis,Gastritis,NA
Haemorrhages_or_Petechiae_or_Echymosis_in_stomach,Haemorrhages or Petechiae or Echymosis in stomach,NA
Ulceration,Ulceration,NA
Button_Ulcers_or_Ulcers,Button Ulcers or Ulcers,NA
Intestine_Abscess,Intestine Abscess,NA
